v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.0,0.4,250,2000,500,False,True,0.351863184787,0.137814041708,0.256154299582,0.248610508692,0.409273239892,0.172901183147,0.289529806169,0.290568076403,222.0965
0.0,0.4,500,2000,500,True,True,0.358266530212,0.143745201568,0.258954822628,0.253655518136,0.406198724075,0.173659778635,0.2886368784,0.28949846037,231.3408
0.0,0.4,500,2000,500,False,True,0.359340948705,0.142562222109,0.258853258951,0.253585476588,0.40964826292,0.172725191383,0.293015520455,0.291796324919,280.3494
0.0,0.4,750,2000,500,True,True,0.35169114933,0.140554980307,0.253983297195,0.248743142277,0.378750223375,0.159400098783,0.276384656945,0.271511659701,267.6721
0.0,0.4,750,2000,500,False,True,0.353764468355,0.142304084418,0.256169369035,0.250745973936,0.396799647545,0.16503553621,0.281221287806,0.281018823854,322.8589
0.0,0.45,250,2000,500,True,True,0.360365676832,0.145551993085,0.263042613986,0.256320094634,0.399135089919,0.16554659661,0.280096217179,0.281592634569,208.3306
0.0,0.45,250,2000,500,False,True,0.364771347745,0.144636564938,0.264204163607,0.257870692097,0.400351966402,0.165496552046,0.28142203306,0.282423517169,217.9076
0.1,0.35,500,2000,500,True,True,0.363732891477,0.145816114333,0.263824175945,0.257791060585,0.400993332269,0.164566604336,0.283720478702,0.283093471769,222.9968
0.1,0.35,500,2000,500,False,True,0.363131599727,0.145132951646,0.265020821163,0.257761790845,0.402981596253,0.166350191383,0.286973853788,0.285435213808,278.4345
0.1,0.35,750,2000,500,True,True,0.365024842269,0.144590136957,0.261662320552,0.257092433259,0.385572394132,0.161442660189,0.281835493092,0.276283515804,281.9033
0.1,0.35,750,2000,500,False,True,0.358007830791,0.143669999586,0.2600541835,0.253910671292,0.41112928828,0.1757500985,0.297476352458,0.294785246413,269.8857
0.35,0.5,500,2000,500,True,True,0.358183928593,0.141406469918,0.258815386985,0.252801928499,0.397422191508,0.170253005016,0.286222398762,0.284632531762,259.9151
0.35,0.5,500,2000,500,False,True,0.361876161827,0.144061825497,0.261647298987,0.255861762104,0.408132043252,0.168005203038,0.290692535705,0.288943260665,286.5011
0.35,0.5,750,2000,500,True,True,0.363693667414,0.14615171857,0.262307385226,0.25738425707,0.394123194014,0.16419700176,0.283077443717,0.28046587983,258.5942
0.35,0.5,750,2000,500,False,True,0.359233255328,0.145494338115,0.262796387369,0.255841326937,0.383651289359,0.162683050852,0.278582748126,0.274972362779,236.3618
0.25,0.5,750,2000,500,True,True,0.35707300839,0.144711751882,0.260262539528,0.2540157666,0.391705573039,0.163153882066,0.280591782779,0.278483745961,282.9406
0.25,0.5,750,2000,500,False,True,0.358462627128,0.145712810315,0.261959372715,0.255378270053,0.39177700161,0.163829812587,0.283774525962,0.279793780053,309.5947
0.3,0.1,250,2000,500,True,True,0.347742020551,0.135314737559,0.251676741111,0.244911166407,0.35434336709,0.151165909806,0.261688305505,0.255732527467,196.5260
0.3,0.1,250,2000,500,False,True,0.363500654052,0.147436088526,0.266064910999,0.259000551192,0.395253854189,0.165631440664,0.281993461631,0.280959585495,213.5412
0.3,0.1,500,2000,500,True,True,0.359525127142,0.144601672305,0.260252439748,0.254793079732,0.387653745274,0.161276990246,0.277808088883,0.275579608134,232.5530
0.3,0.1,500,2000,500,False,True,0.361485205363,0.145725028953,0.262520413439,0.256576882585,0.40754893293,0.175190267753,0.289809220872,0.290849473852,276.8203
0.3,0.1,750,2000,500,True,True,0.361343482823,0.146001197674,0.263287815306,0.256877498601,0.400245509924,0.167593045531,0.28402126569,0.283953273715,297.3232
0.3,0.1,750,2000,500,False,True,0.369287093308,0.14899530054,0.269129723234,0.262470705694,0.400334141187,0.162942361912,0.282849019007,0.282041840702,299.2084
0.3,0.15,250,2000,500,True,True,0.359392001932,0.143821905485,0.26247477062,0.255229559345,0.412805112677,0.177164823211,0.294819935158,0.294929957015,186.1178
0.3,0.15,250,2000,500,False,True,0.36223465,0.143886480844,0.2631209399,0.256414023581,0.398673951441,0.168893521743,0.278516904855,0.282028126013,210.6136
0.45,0.45,250,2000,500,True,True,0.356148370963,0.139841348021,0.257619857856,0.25120319228,0.397562888047,0.164573336537,0.281907344045,0.28134785621,203.7053
0.45,0.45,250,2000,500,False,True,0.350686911274,0.137700228365,0.25572952395,0.248038887863,0.401627737246,0.170730046493,0.285459198616,0.285938994118,233.2890
0.45,0.45,500,2000,500,True,True,0.357933589584,0.143023213814,0.261661500242,0.254206101213,0.391975336646,0.16270697709,0.280974462112,0.278552258616,248.8031
0.45,0.45,500,2000,500,False,True,0.362158725611,0.146578544571,0.263681961149,0.25747307711,0.402680483317,0.165949807125,0.286609943268,0.285080077903,292.7172
0.45,0.45,750,2000,500,True,True,0.36855863438,0.149088727484,0.26612448335,0.261257281738,0.396670805922,0.16650697327,0.287197675337,0.283458484843,281.5423
0.45,0.45,750,2000,500,False,True,0.360613690917,0.143658491888,0.258853034239,0.254375072348,0.405366197603,0.168149433807,0.290548115311,0.288021248907,330.2628
0.45,0.5,250,2000,500,True,True,0.358117153208,0.14386499741,0.261712084377,0.254564744998,0.407576888861,0.172354288917,0.28760727282,0.289179483533,197.8382
0.45,0.5,250,2000,500,False,True,0.35373258835,0.138596982801,0.256865895089,0.24973182208,0.408928903513,0.172918018164,0.291012401025,0.290953107567,208.3488
0.45,0.5,500,2000,500,True,True,0.365773325335,0.146794003473,0.265249981193,0.259272436667,0.397960067113,0.163742361912,0.283028033541,0.281576820855,249.4713
0.45,0.5,500,2000,500,False,True,0.3611357118,0.144082278755,0.261991583433,0.255736524663,0.395941330358,0.166627263002,0.280295827022,0.280954806794,277.0240
0.0,0.25,500,2000,500,True,True,0.358865325859,0.145318793859,0.262312790775,0.255498970164,0.382170935697,0.157537844402,0.274595757176,0.271434845758,218.3360
0.0,0.25,500,2000,500,False,True,0.362597239945,0.146997862294,0.265348003825,0.258314368688,0.405446966354,0.16862057259,0.28849316253,0.287520233824,258.4983
0.0,0.25,750,2000,500,True,True,0.360792407875,0.145202367261,0.261804667819,0.255933147651,0.404354428052,0.166921608472,0.282590348677,0.2846221284,268.8575
0.0,0.25,750,2000,500,False,True,0.363691259824,0.147486658765,0.264894717861,0.258690878817,0.404490880294,0.168813920952,0.287907587889,0.287070796378,302.6663
0.05,0.5,750,2000,500,True,True,0.359960869266,0.143420852703,0.261562942684,0.254981554884,0.390553266347,0.161825010774,0.282555606072,0.278311294398,275.8604
0.05,0.5,750,2000,500,False,True,0.363765452394,0.146414883649,0.26399928355,0.258059873198,0.395597077485,0.160392691375,0.280100101258,0.278696623373,309.7217
0.1,0.1,250,2000,500,True,True,0.366533705166,0.148447236404,0.266641976068,0.260540972546,0.388287045896,0.158136842656,0.272032616594,0.272818835049,199.8354
0.1,0.1,250,2000,500,False,True,0.352260590029,0.140055907729,0.256941590344,0.249752696034,0.40859540738,0.173095029658,0.286404891868,0.289365109635,206.0238
0.1,0.1,500,2000,500,True,True,0.358699663917,0.142015894526,0.258289137487,0.25300156531,0.398454988723,0.173543914107,0.284199976325,0.285399626385,235.5395
0.1,0.1,500,2000,500,False,True,0.364154265059,0.145460163018,0.263534221041,0.257716216373,0.400205093989,0.164428362992,0.280140606153,0.281591354378,257.9868
0.1,0.1,750,2000,500,True,True,0.355529730501,0.142662835667,0.257374599133,0.251855721767,0.375416350572,0.155843966026,0.266688648276,0.265982988291,267.9241
0.1,0.1,750,2000,500,False,True,0.360433518395,0.145801570518,0.260512721189,0.255582603367,0.398079515853,0.170384207147,0.285969671315,0.284811131438,328.3385
0.1,0.15,250,2000,500,True,True,0.360686931013,0.144857942164,0.262630035386,0.256058302854,0.40451214071,0.169991164841,0.284112361819,0.286205222457,188.2499
0.1,0.15,250,2000,500,False,True,0.355147358551,0.141620506527,0.260016937003,0.252261600694,0.40603962178,0.172916188891,0.284510474791,0.287822095154,210.8559
0.35,0.2,750,2000,500,True,True,0.357503974771,0.142927204012,0.2606803247,0.253703834494,0.394454960754,0.161979992963,0.283583959448,0.280006304388,273.5443
0.35,0.2,750,2000,500,False,True,0.362447280185,0.145993154508,0.263508661767,0.257316365487,0.404040653316,0.16997522257,0.287360449842,0.287125441909,308.9954
0.35,0.25,250,2000,500,True,True,0.352069011953,0.136749339123,0.259143404008,0.249320585028,0.396105641778,0.163312686076,0.27669768241,0.278705336755,194.2767
0.35,0.25,250,2000,500,False,True,0.364023580233,0.1449507273,0.265977684027,0.25831733052,0.394872391629,0.164142872393,0.279727043953,0.279580769325,202.9198
0.35,0.25,500,2000,500,True,True,0.358734102902,0.141333107453,0.259456006515,0.253174405623,0.396467826196,0.163859065622,0.28161323077,0.280646707529,235.6983
0.35,0.25,500,2000,500,False,True,0.369958434607,0.149591690029,0.270301180882,0.263283768506,0.410387694611,0.169908192258,0.287951428664,0.289415771845,287.0796
0.35,0.25,750,2000,500,True,True,0.369496110057,0.146827709428,0.266637921143,0.260987246876,0.397326361478,0.16650697327,0.287295558935,0.283709631228,269.1526
0.35,0.25,750,2000,500,False,True,0.363350146281,0.146402994675,0.265169896698,0.258307679218,0.400280353978,0.165004397143,0.284271224253,0.283185325125,312.9662
0.35,0.3,250,2000,500,True,True,0.357312744984,0.142671337152,0.260575964998,0.253520015711,0.409947843067,0.17424681328,0.290244091883,0.291479582743,195.7035
0.35,0.3,250,2000,500,False,True,0.359187471591,0.144829293588,0.262620835674,0.255545866951,0.408335489903,0.175356400531,0.289841080679,0.291177657038,217.8581
0.25,0.4,500,2000,500,True,True,0.36088469092,0.146096539349,0.260747676361,0.255909635543,0.405317548202,0.172659778635,0.284102246365,0.287359857734,226.4243
0.25,0.4,500,2000,500,False,True,0.361505142484,0.144134363532,0.261817648847,0.255819051621,0.408229933867,0.173690547865,0.293345734359,0.291755405364,270.8455
0.25,0.4,750,2000,500,True,True,0.362892663369,0.147837407381,0.263989101082,0.258239723944,0.392707272265,0.163755061279,0.280907088389,0.279123140644,281.9811
0.25,0.4,750,2000,500,False,True,0.364562253228,0.147597246153,0.264420417494,0.258859972291,0.398683929968,0.164514077277,0.281401508184,0.28153317181,272.1070
0.4,0.5,250,2000,500,True,True,0.349083810182,0.136884070568,0.252858724993,0.246275535248,0.38191213544,0.158226213289,0.268405462757,0.269514603829,205.6880
0.4,0.5,250,2000,500,False,True,0.35646396989,0.14285484909,0.259046262792,0.252788360591,0.410103343888,0.173630474605,0.287635474791,0.290456431095,223.2269
0.4,0.5,500,2000,500,True,True,0.362442413644,0.142713956716,0.262677331209,0.25594456719,0.402283814885,0.165425863595,0.285496715458,0.284402131313,234.8161
0.4,0.5,500,2000,500,False,True,0.361874567832,0.145742272409,0.2629321575,0.256849665914,0.402226834828,0.166140149309,0.285407429744,0.284591471294,262.8876
0.4,0.5,750,2000,500,True,True,0.359730124058,0.143685031825,0.26199133837,0.255135498084,0.403774790925,0.1687500985,0.290164524501,0.287563137975,279.1924
0.4,0.5,750,2000,500,False,True,0.363861407183,0.146773451625,0.262738737959,0.257791198922,0.406106938344,0.168149433807,0.290548115311,0.288268162487,307.1350
0.45,0.1,250,2000,500,True,True,0.343936981873,0.134313908206,0.244834631464,0.241028507181,0.36170258672,0.14742345984,0.267503037432,0.258876361331,209.4738
0.45,0.1,250,2000,500,False,True,0.359978485279,0.144185342015,0.260532877542,0.254898901612,0.393310705251,0.164367278737,0.277823420175,0.278500468054,212.3067
0.45,0.1,500,2000,500,True,True,0.352268969039,0.140109470319,0.25462840423,0.249002281196,0.369994315797,0.15445005005,0.272603267934,0.265682544594,241.2250
0.45,0.1,500,2000,500,False,True,0.357430937848,0.143970746856,0.26038660628,0.253929430328,0.390554993063,0.162843332401,0.280636280686,0.278011535383,273.1626
0.1,0.45,750,2000,500,True,True,0.361341607752,0.145251073871,0.261017616446,0.255870099356,0.401688948926,0.166283308046,0.287095734359,0.285022663777,273.4568
0.1,0.45,750,2000,500,False,True,0.362640391579,0.144548585779,0.265039366915,0.257409448091,0.400219270235,0.165179397143,0.284558463895,0.283319043757,325.6767
0.1,0.5,250,2000,500,True,True,0.361353295641,0.145795266526,0.265047634706,0.257398732291,0.398995588868,0.166108257171,0.282415994271,0.282506613437,193.3905
0.1,0.5,250,2000,500,False,True,0.35525819621,0.141199764436,0.2575946259,0.251350862182,0.405244321811,0.172228362992,0.287675339938,0.288382674914,223.2752
