v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.5,0.1,250,2000,500,False,True,0.362589455734,0.145624329072,0.265285582953,0.257833122586,0.403450874518,0.171851770902,0.286960128298,0.287420924573,226.2783
0.5,0.1,250,2000,500,False,False,0.316101006225,0.122772353878,0.22313839949,0.220670586531,0.307766230071,0.119554816182,0.214790231512,0.214037092588,220.8977
0.5,0.1,250,4000,500,True,True,0.362196420605,0.14477261573,0.266606182795,0.257858406377,0.378781259942,0.154082282415,0.262704175318,0.265189239225,199.3681
0.5,0.1,250,4000,500,True,False,0.352921896467,0.136984802565,0.252981562597,0.247629420543,0.362253839714,0.153493184754,0.256693631132,0.257480218533,201.1560
0.5,0.1,250,4000,500,False,True,0.3573736005,0.143699173994,0.257996579445,0.25302311798,0.386769666166,0.162790167123,0.277095618347,0.275551817212,225.5608
0.5,0.1,250,4000,500,False,False,0.34602585373,0.137814071393,0.250936277985,0.244925401036,0.353381846622,0.141681680486,0.25081305096,0.248625526022,233.4435
0.5,0.1,500,2000,500,True,True,0.323019949548,0.121557168684,0.230704980373,0.225094032868,0.334133346215,0.135569991655,0.250211119068,0.239971485646,232.0295
0.5,0.1,500,2000,500,True,False,0.324709024165,0.126696457638,0.231330452925,0.227578644909,0.322722284373,0.128090968466,0.22861125441,0.22647483575,245.0265
0.4,0.0,250,2000,500,False,True,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,238.5413
0.4,0.0,250,2000,500,False,False,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,238.0178
0.4,0.0,250,4000,500,True,True,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,222.6387
0.4,0.0,250,4000,500,True,False,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,217.3863
0.4,0.0,250,4000,500,False,True,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,221.4107
0.4,0.0,250,4000,500,False,False,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,252.9526
0.4,0.0,500,2000,500,True,True,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,219.4016
0.4,0.0,500,2000,500,True,False,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,236.0444
0.4,0.0,500,2000,500,False,True,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,237.8754
0.4,0.0,500,2000,500,False,False,0.172193070615,0.0516711516734,0.127118758983,0.116994327091,0.153629065882,0.0372718980721,0.110714844431,0.100538602795,212.8254
0.1,0.4,250,4000,500,False,True,0.358864704465,0.143803092183,0.260591809542,0.25441986873,0.388785743373,0.160180132713,0.274801896116,0.274589257401,265.4184
0.1,0.4,250,4000,500,False,False,0.291056774162,0.107782755296,0.213986521115,0.204275350191,0.291396625056,0.120747143087,0.217902383222,0.210015383788,241.7193
0.1,0.4,500,2000,500,True,True,0.35747861461,0.143766713978,0.258430097611,0.253225142067,0.407277206384,0.175690839241,0.292459156691,0.291809067439,281.6812
0.1,0.4,500,2000,500,True,False,0.337139157658,0.131119326298,0.251745055255,0.240001179737,0.326445757045,0.123209317204,0.241253256954,0.230302777068,244.9456
0.1,0.4,500,2000,500,False,True,0.361518654287,0.145344591394,0.262490800494,0.256451348725,0.391316294342,0.162369161963,0.278131410556,0.277272288954,261.0789
0.1,0.4,500,2000,500,False,False,0.310834448504,0.120969512274,0.230277894016,0.220693951598,0.29431125369,0.115845146191,0.217256047234,0.209137482371,265.6274
0.1,0.4,500,4000,500,True,True,0.364401247775,0.145288127574,0.265183187473,0.258290854274,0.3865778616,0.157902076466,0.2735871839,0.272689040655,245.0709
0.1,0.4,500,4000,500,True,False,0.357227942342,0.145324370335,0.258286172661,0.253612828446,0.325126361131,0.115587941759,0.234249316101,0.224987872997,245.1306
0.1,0.4,500,4000,500,False,True,0.360801031303,0.144410586769,0.260383657543,0.255198425205,0.386073154429,0.156982165059,0.276931130444,0.273328816644,238.2025
0.1,0.4,500,4000,500,False,False,0.363550167777,0.148273242493,0.267398774244,0.259740728171,0.339531019252,0.123579456378,0.242321638245,0.235144037958,219.1553
0.3,0.2,250,4000,500,False,True,0.354685296486,0.14005729111,0.257572112303,0.250771566633,0.401819271638,0.165472257822,0.277705630345,0.281665719935,211.3363
0.3,0.2,250,4000,500,False,False,0.352452198976,0.139228419009,0.255461572815,0.249047396933,0.357648251042,0.139007134071,0.251993294904,0.249549560006,217.6086
0.3,0.2,500,2000,500,True,True,0.359345587984,0.144410241976,0.260588642065,0.254781490675,0.386979964735,0.161668881851,0.281843497181,0.276830781256,219.4858
