v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test
0.3,0.1,100,2000,2500,True,False,0.341237072488,0.133937148602,0.240918071603,0.238697430898,0.360782456339,0.150330447168,0.260023967346,0.257045623618
0.3,0.1,100,2000,2500,False,True,0.35652069891,0.141559140115,0.257910926459,0.251996921828,0.388736059208,0.161717808731,0.271378316263,0.273944061401
0.3,0.1,100,2000,2500,False,False,0.332447658396,0.127948731144,0.239296293094,0.233230894212,0.355005313001,0.145737024022,0.256189749404,0.252310695475
0.3,0.1,100,3000,500,True,True,0.356129303471,0.141201324098,0.257479588327,0.251603405299,0.381517963893,0.154973676043,0.264801641355,0.26709776043
0.3,0.1,100,3000,500,True,False,0.357660453808,0.137729329388,0.256988956673,0.25079291329,0.361627433683,0.147219557793,0.251032369499,0.253293120325
0.3,0.1,100,3000,500,False,True,0.354918689456,0.14243475077,0.258379399221,0.251910946482,0.377516578193,0.153999770319,0.261029806169,0.26418205156
0.3,0.1,100,3000,500,False,False,0.341529896596,0.127251174167,0.248887752981,0.239222941248,0.341595388432,0.135128415203,0.238537235231,0.238420346289
0.3,0.1,100,3000,1000,True,True,0.360548189745,0.145122146997,0.263086225982,0.256252187575,0.371026082354,0.149978305673,0.254733379138,0.258579255722
0.3,0.1,100,3000,1000,True,False,0.356253214916,0.138871609415,0.253385511197,0.249503445176,0.384942053128,0.162469840033,0.270977823862,0.272796572341
0.3,0.1,100,3000,1000,False,True,0.357042568157,0.141483857084,0.256940594632,0.251822339958,0.385079040497,0.155325527895,0.267152908636,0.269185825676
0.3,0.1,100,3000,1000,False,False,0.335854957268,0.131707032244,0.242598239616,0.236720076376,0.355058583383,0.15127265919,0.260476311591,0.255602518054
0.3,0.1,100,3000,1500,True,True,0.35892454671,0.14380261398,0.259255041003,0.253994067231,0.377762015249,0.154257282415,0.26343869597,0.265152664545
0.3,0.1,100,3000,1500,True,False,0.352593586085,0.139489213853,0.255841956919,0.249308252286,0.375925581192,0.149871438615,0.266045297226,0.263947439011
0.3,0.1,100,3000,1500,False,True,0.35886138065,0.141604696255,0.259619299457,0.253361792121,0.379683234127,0.155433753003,0.260965150997,0.265360712709
0.3,0.1,100,3000,1500,False,False,0.35774164785,0.140646356633,0.257139477102,0.251842493862,0.393721041816,0.16946432878,0.282473741287,0.281886370628
0.3,0.1,100,3000,2000,True,True,0.357995114395,0.14353491796,0.259139891229,0.253556641195,0.373825363665,0.148285060193,0.258732813617,0.260281079159
0.3,0.1,100,3000,2000,True,False,0.33911617352,0.132632795418,0.246836281562,0.239528416833,0.350489591486,0.141608133906,0.254789697351,0.248962474247
0.3,0.1,100,3000,2000,False,True,0.355926152958,0.139465540254,0.257229587271,0.250873760161,0.37586052897,0.156836107099,0.263295838827,0.265330824966
0.3,0.1,100,3000,2000,False,False,0.352847083032,0.138845482181,0.247989099472,0.246560554895,0.39093104413,0.167559065622,0.283177851991,0.280555987248
0.3,0.1,100,3000,2500,True,True,0.35577935376,0.140228660975,0.257186430766,0.251064815167,0.372811046289,0.152625580783,0.260486315018,0.26197431403
0.3,0.1,100,3000,2500,True,False,0.351504256787,0.136302569112,0.246108431757,0.244638419219,0.378159425391,0.153779733843,0.265726504091,0.265888554442
0.3,0.1,100,3000,2500,False,True,0.352153910151,0.138820359657,0.255006212714,0.24866016084,0.392895964549,0.16457684784,0.276015074192,0.277829295527
0.3,0.1,100,3000,2500,False,False,0.35338505364,0.139784116145,0.255374469891,0.249514546559,0.404329082396,0.169187953579,0.279215814339,0.284244283438
0.3,0.1,100,4000,500,True,True,0.357771986149,0.142922187849,0.256514751624,0.252402975208,0.372855156465,0.154989937382,0.261135108162,0.26299340067
0.3,0.1,100,4000,500,True,False,0.344575366748,0.135861915097,0.243296620907,0.24124463425,0.375784576887,0.156712264275,0.26962376842,0.267373536527
0.3,0.1,100,4000,500,False,True,0.355281247894,0.14083334132,0.257584549303,0.251233046173,0.370631647383,0.154181016089,0.259529468103,0.261447377191
0.3,0.1,100,4000,500,False,False,0.350495619695,0.137190706774,0.252694835161,0.246793720543,0.38784248941,0.160851059976,0.278858679878,0.275850743088
0.3,0.1,100,4000,1000,True,True,0.361751332656,0.145247224796,0.264195220522,0.257064592658,0.371433325879,0.150666012574,0.258585926022,0.260228421492
0.3,0.1,100,4000,1000,True,False,0.341690086922,0.131518720548,0.248793243075,0.240667350181,0.356336968296,0.146966064776,0.251755928719,0.251686320597
0.3,0.1,100,4000,1000,False,True,0.359153699477,0.143787493959,0.260134165936,0.254358453124,0.371456132896,0.149766541674,0.257304242189,0.259508972253
0.3,0.1,100,4000,1000,False,False,0.333408929407,0.130888279289,0.239088558174,0.23446192229,0.350711888229,0.140827844507,0.252232161402,0.247923964713
0.3,0.1,100,4000,1500,True,True,0.3568391114,0.142350569522,0.260123439251,0.253104373391,0.377021339015,0.153063799972,0.263983202174,0.264689447054
0.3,0.1,100,4000,1500,True,False,0.352318949476,0.139527865488,0.254765989273,0.248870934746,0.38606254377,0.15960188226,0.274685141491,0.27344985584
